family,seed,latent_mse,wall_clock_seconds_labeling,wall_clock_seconds_training,benchmark_backend,split_id,train_episode_count,heldout_episode_count,train_windows,heldout_windows,epochs,batch_size,learning_rate,device,pretrained_path,conditioning_note
baseline,0,0.02344923,0.0,82.818294,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
baseline,1,0.02116447,0.0,83.575394,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
rich_text,0,0.02327152,905.074955,83.765038,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text,1,0.02126519,905.074955,84.022871,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text_metadata,0,0.02250808,1666.120102,84.31112,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata,1,0.01865066,1666.120102,84.011298,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata_subgoal,0,0.02407164,1669.441897,90.033131,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
rich_text_metadata_subgoal,1,0.01828538,1669.441897,90.297039,real_lewm_frozen_adapter,scale_50_636576746e,40,10,1092,194,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
