scale_n,condition,bin,windows,mean_advantage,mean_delta,dist_advantage_corr,near_advantage,far_advantage,near_minus_far_advantage
25,B_depth,near_vs_far,843,0.003964572521269074,-0.003964572521269074,0.05499997466428258,0.0023928594902125106,0.005556640511861553,-0.0031637810216490424
25,B_depth,at_boundary,60,0.0016684420639649044,-0.0016684420639649044,0.05499997466428258,,,
25,B_depth,1-2,168,0.0026515799995866555,-0.0026515799995866555,0.05499997466428258,,,
25,B_depth,3-5,225,0.004420941960480475,-0.004420941960480475,0.05499997466428258,,,
25,B_depth,6-10,255,0.00412433043706651,-0.00412433043706651,0.05499997466428258,,,
25,B_depth,>10,135,0.005556640511861553,-0.005556640511861553,0.05499997466428258,,,
25,D_tracks,near_vs_far,843,1.1775376383449549e-05,-1.1775376383449549e-05,0.011952067839287353,5.519161973018076e-05,0.00036150466788697875,-0.000306313048156798
25,D_tracks,at_boundary,60,6.255784537642983e-05,-6.255784537642983e-05,0.011952067839287353,,,
25,D_tracks,1-2,168,5.256082485652042e-05,-5.256082485652042e-05,0.011952067839287353,,,
25,D_tracks,3-5,225,1.808946952223696e-05,-1.808946952223696e-05,0.011952067839287353,,,
25,D_tracks,6-10,255,-0.00021776591299795572,0.00021776591299795572,0.011952067839287353,,,
25,D_tracks,>10,135,0.00036150466788697875,-0.00036150466788697875,0.011952067839287353,,,
25,E_depth_tracks,near_vs_far,843,0.005140987855149157,-0.005140987855149157,0.041048311682721786,0.0032370351928923454,0.0066370369245608634,-0.003400001731668518
25,E_depth_tracks,at_boundary,60,0.002101377886719995,-0.002101377886719995,0.041048311682721786,,,
25,E_depth_tracks,1-2,168,0.0036426270879538988,-0.0036426270879538988,0.041048311682721786,,,
25,E_depth_tracks,3-5,225,0.006107046796629825,-0.006107046796629825,0.041048311682721786,,,
25,E_depth_tracks,6-10,255,0.0051989146033484595,-0.0051989146033484595,0.041048311682721786,,,
25,E_depth_tracks,>10,135,0.0066370369245608634,-0.0066370369245608634,0.041048311682721786,,,
25,P3_pi07_subgoal,near_vs_far,843,0.00038611099691807397,-0.00038611099691807397,0.04867091662862056,0.00044150097630591025,0.001597774918708537,-0.0011562739424026266
25,P3_pi07_subgoal,at_boundary,60,0.0006429046081999879,-0.0006429046081999879,0.04867091662862056,,,
25,P3_pi07_subgoal,1-2,168,0.0003695711077723113,-0.0003695711077723113,0.04867091662862056,,,
25,P3_pi07_subgoal,3-5,225,0.0001742055805193034,-0.0001742055805193034,0.04867091662862056,,,
25,P3_pi07_subgoal,6-10,255,-0.00011790792877767404,0.00011790792877767404,0.04867091662862056,,,
25,P3_pi07_subgoal,>10,135,0.001597774918708537,-0.001597774918708537,0.04867091662862056,,,
25,P4_pi07_full_stack,near_vs_far,843,0.0004412222091298591,-0.0004412222091298591,0.03963664859624092,0.0005472345918972475,0.0012495767773577503,-0.0007023421854605028
25,P4_pi07_full_stack,at_boundary,60,0.000608948067141071,-0.000608948067141071,0.03963664859624092,,,
25,P4_pi07_full_stack,1-2,168,0.0005251940650244534,-0.0005251940650244534,0.03963664859624092,,,
25,P4_pi07_full_stack,3-5,225,0.00026606153903736195,-0.00026606153903736195,0.03963664859624092,,,
25,P4_pi07_full_stack,6-10,255,7.303578085174929e-05,-7.303578085174929e-05,0.03963664859624092,,,
25,P4_pi07_full_stack,>10,135,0.0012495767773577503,-0.0012495767773577503,0.03963664859624092,,,
50,B_depth,near_vs_far,843,0.00532848265851723,-0.00532848265851723,0.09955970632283666,0.002336768083184501,0.014141007347239385,-0.011804239264054885
50,B_depth,at_boundary,60,0.0010257848654873698,-0.0010257848654873698,0.09955970632283666,,,
50,B_depth,1-2,168,0.0028049763752191906,-0.0028049763752191906,0.09955970632283666,,,
50,B_depth,3-5,225,0.005687670609396365,-0.005687670609396365,0.09955970632283666,,,
50,B_depth,6-10,255,0.0030210426634214083,-0.0030210426634214083,0.09955970632283666,,,
50,B_depth,>10,135,0.014141007347239385,-0.014141007347239385,0.09955970632283666,,,
50,D_tracks,near_vs_far,843,0.0004730172305338055,-0.0004730172305338055,-0.0004901941791013616,0.00023005504044704223,0.00036151858339844394,-0.0001314635429514017
50,D_tracks,at_boundary,60,0.00022141112325092514,-0.00022141112325092514,-0.0004901941791013616,,,
50,D_tracks,1-2,168,0.0002331421537313697,-0.0002331421537313697,-0.0004901941791013616,,,
50,D_tracks,3-5,225,0.0007621944669841076,-0.0007621944669841076,-0.0004901941791013616,,,
50,D_tracks,6-10,255,0.0004941263226974838,-0.0004941263226974838,-0.0004901941791013616,,,
50,D_tracks,>10,135,0.00036151858339844394,-0.00036151858339844394,-0.0004901941791013616,,,
50,E_depth_tracks,near_vs_far,843,0.005715308059669795,-0.005715308059669795,0.06752001247094845,0.00322577516495234,0.011360202186430487,-0.008134427021478147
50,E_depth_tracks,at_boundary,60,0.0018951452259595154,-0.0018951452259595154,0.06752001247094845,,,
50,E_depth_tracks,1-2,168,0.0037010001431640634,-0.0037010001431640634,0.06752001247094845,,,
50,E_depth_tracks,3-5,225,0.007083745752978658,-0.007083745752978658,0.06752001247094845,,,
50,E_depth_tracks,6-10,255,0.0037453249690360337,-0.0037453249690360337,0.06752001247094845,,,
50,E_depth_tracks,>10,135,0.011360202186430487,-0.011360202186430487,0.06752001247094845,,,
50,P3_pi07_subgoal,near_vs_far,843,0.0009818114823642954,-0.0009818114823642954,0.12493100764321742,9.49635011094789e-06,0.002717282914522062,-0.002707786564411114
50,P3_pi07_subgoal,at_boundary,60,-0.00040344781009480523,0.00040344781009480523,0.12493100764321742,,,
50,P3_pi07_subgoal,1-2,168,0.00015697640732728827,-0.00015697640732728827,0.12493100764321742,,,
50,P3_pi07_subgoal,3-5,225,0.0010578349346501963,-0.0010578349346501963,0.12493100764321742,,,
50,P3_pi07_subgoal,6-10,255,0.0008653170903962054,-0.0008653170903962054,0.12493100764321742,,,
50,P3_pi07_subgoal,>10,135,0.002717282914522062,-0.002717282914522062,0.12493100764321742,,,
50,P4_pi07_full_stack,near_vs_far,843,0.0011764095191902353,-0.0011764095191902353,0.10599589540596474,0.00037942300734453415,0.0022054118052538835,-0.0018259887979093494
50,P4_pi07_full_stack,at_boundary,60,1.1858615713821608e-05,-1.1858615713821608e-05,0.10599589540596474,,,
50,P4_pi07_full_stack,1-2,168,0.000510696004355503,-0.000510696004355503,0.10599589540596474,,,
50,P4_pi07_full_stack,3-5,225,0.0013307414483279005,-0.0013307414483279005,0.10599589540596474,,,
50,P4_pi07_full_stack,6-10,255,0.0012080680761559323,-0.0012080680761559323,0.10599589540596474,,,
50,P4_pi07_full_stack,>10,135,0.0022054118052538835,-0.0022054118052538835,0.10599589540596474,,,
