family,seed,latent_mse,wall_clock_seconds_labeling,wall_clock_seconds_training,benchmark_backend,split_id,train_episode_count,heldout_episode_count,train_windows,heldout_windows,epochs,batch_size,learning_rate,device,pretrained_path,conditioning_note
baseline,0,0.02321928,0.0,183.594777,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
baseline,1,0.02182378,0.0,179.599068,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task text hashed into a learned conditioning adapter
rich_text,0,0.02337764,905.074955,180.638437,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text,1,0.02286799,905.074955,180.090146,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,task plus active VLM-derived subtask text with 30% subtask dropout during training
rich_text_metadata,0,0.0233479,1666.120102,180.477421,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata,1,0.02231416,1666.120102,180.592363,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,rich text plus speed/quality/mistake/control metadata with pi0.7-style dropout
rich_text_metadata_subgoal,0,0.02120427,1669.441897,194.562238,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
rich_text_metadata_subgoal,1,0.02040964,1669.441897,194.237316,real_lewm_frozen_adapter,scale_100_8259ccf90c,90,10,2350,270,8,12,0.0003,cuda,D:\hf_cache\models--quentinll--lewm-cube\snapshots\7d05e023b3c1114cc8e803ec23fb0177d688598b\weights.pt,metadata prompt plus actual end-of-segment subgoal frame encoded by frozen LeWM
